Amino Acid,Count in Gold,Gold norm.,Count in Gold-Silver,Gold-Silver norm.,Count in Gold-Silver-Bronze,Gold-Silver-Bronze norm.,Count in non-SUMOylated,non-SUMOylated norm.,Count in human proteome,Gold vs non-SUMOylated chi2_statistic,Gold vs non-SUMOylated adj_pval
L,561,0.64,1708,0.74,2750,0.75,7390,1.11,66807,187.57732356100402,9.024968546304674e-41
K,650,0.91,1515,0.8,2292,0.77,3338,0.62,54307,84.54061897746999,3.161775950517417e-18
E,1098,1.68,2642,1.53,4031,1.48,4681,0.95,49574,319.3376082264393,1.696149995797463e-69
S,639,1.03,1731,1.06,2681,1.04,4511,0.97,46893,2.387027850766477,1
A,370,0.69,1061,0.76,1895,0.86,4860,1.21,40356,117.35698969486155,2.0141574981364825e-25
G,820,1.57,2185,1.59,3332,1.54,3974,1.01,39605,142.51125670825618,6.314992227692666e-31
V,533,1.08,1315,1.02,2058,1.01,4194,1.13,37198,0.9605737806747768,1
R,323,0.67,945,0.74,1466,0.73,2397,0.66,36737,0.043757090518792424,1
P,474,1.07,1204,1.03,1983,1.08,4069,1.22,33581,7.725168803575756,0.45743265314127496
T,407,0.93,1072,0.93,1712,0.94,3537,1.07,33140,7.863712111754772,0.42366859881947017
I,370,0.89,1016,0.93,1621,0.94,3420,1.09,31599,14.737646690905093,0.010378570059363237
Q,375,0.94,947,0.91,1528,0.93,3328,1.11,30030,9.51455166648449,0.17123307805593896
D,890,2.26,1970,1.9,2897,1.77,2502,0.84,29828,721.3897883109128,5.607021449457223e-157
F,212,0.66,647,0.76,1053,0.79,2604,1.07,24359,49.49886879468498,1.6672835673910757e-10
N,354,1.12,902,1.08,1406,1.07,2440,1.02,23992,2.3851477356839546,1
C,79,0.33,407,0.64,754,0.75,1949,1.07,18268,122.84831852271061,1.2644315322847316e-26
Y,170,0.76,467,0.8,736,0.8,1759,1.05,16841,15.991930018472,0.00534349747137397
H,127,0.59,436,0.77,725,0.81,1868,1.15,16336,56.45166769107559,4.8381357001263665e-12
M,129,0.66,355,0.7,604,0.75,1522,1.04,14687,24.63433586502272,5.821687282285852e-05
W,38,0.34,132,0.45,223,0.48,635,0.75,8467,23.68868467073827,9.512699610308612e-05
X,20,1.69,38,1.22,48,0.98,32,0.36,898,33.37569052914407,6.381280559364599e-07
